,I(600V),I(800V),I(1000V),DepV
34252_009,-7.393922e-11,-7.862073e-11,-9.37446e-11,267.1717171717172
34252_008,-5.780896e-10,-6.007766e-10,-7.227104e-10,263.1313131313132
34252_018,-6.318473e-10,-6.656972e-10,-8.5118e-10,299.49494949494954
34253_049,-6.855767e-10,-7.094458e-10,-8.383241e-10,267.1717171717172
34253_036,-8.782527e-10,-9.092837e-10,-1.072894e-09,263.1313131313132
34253_037,-1.334478e-10,-1.394107e-10,-1.646441e-10,259.0909090909091
34254_041,-5.780293e-10,-5.940518e-10,-6.58479e-10,267.1717171717172
34254_014,-1.773308e-10,-1.837528e-10,-2.081706e-10,263.1313131313132
34254_025,-1.188209e-10,-1.232783e-10,-1.318978e-10,263.1313131313132
34340_014,0.0,0.0,0.0,246.96969696969697
34340_040,-7.038232e-11,0.0,0.0,242.92929292929296
34340_007,-1.000066e-10,-1.056261e-10,-1.205828e-10,246.96969696969697
34340_039,-1.077768e-10,-1.135631e-10,-1.302446e-10,246.96969696969697
34341_024,-7.765678e-11,-7.915584e-11,-8.171876e-11,242.92929292929296
34341_012,-7.187719e-11,-7.718044e-11,-8.936007e-11,242.92929292929296
34341_041,-7.496728e-11,0.0,0.0,246.96969696969697
34341_013,-1.013584e-10,-1.059823e-10,-1.216623e-10,246.96969696969697
34341_038,-1.438428e-10,-1.493391e-10,-1.711127e-10,238.8888888888889
34343_015,-7.594542e-11,-7.927365e-11,-8.497884e-11,251.010101010101
34343_036,-6.96703e-11,-7.396676e-11,-8.154866e-11,255.05050505050505
36696_039,-7.85649e-11,-8.554164e-11,-1.064295e-10,303.5353535353536
36696_010,-7.775033e-11,-8.479361e-11,-1.044539e-10,295.4545454545455
36697_036,-7.154841e-11,-7.60566e-11,-8.752348e-11,315.6565656565657
36697_011,-7.948408e-11,-8.590124e-11,-1.010361e-10,311.61616161616166
37398_012,-8.869761e-11,-9.66505e-11,-1.177171e-10,307.5757575757576
37398_001,-9.419876e-11,-1.023168e-10,-1.242088e-10,295.4545454545455
37399_049,-8.106639e-11,-8.827245e-11,-1.122575e-10,323.7373737373738
37399_033,-8.045113e-11,-8.873959e-11,-1.124522e-10,299.49494949494954
37895_046,-9.07769e-11,-9.773819e-11,-1.183802e-10,265.5855855855856
37895_001,-9.727164e-11,-1.044548e-10,-1.217385e-10,257.8978978978979
37896_001,-9.122683e-11,-9.827303e-11,-1.176468e-10,274.23423423423424
37896_044,-8.959075e-11,-9.725595e-11,-1.190872e-10,265.5855855855856
38212_001,-1.021555e-10,-1.101289e-10,-1.284556e-10,263.66366366366367
38212_044,-9.604197e-11,-1.032705e-10,-1.250117e-10,255.4954954954955
