,I(600V),I(800V),I(1000V),DepV
34252_008,-2.362e-05,-2.781e-05,-3.133e-05,1000.0
34253_037,-2.802e-05,-3.197e-05,-3.555e-05,1000.0
34254_025,-2.434e-05,-2.76e-05,-3.041e-05,1000.0
34340_014,-2.953e-05,-3.292e-05,-3.588e-05,1000.0
34340_040,-2.54e-05,-2.811e-05,-3.047e-05,1000.0
34340_039,0.0,0.0,0.0,152.0
34341_012,-2.77e-05,-3.203e-05,-3.553e-05,728.6786786786787
34341_041,-2.533e-05,-2.805e-05,-3.038e-05,1000.0
34343_036,-2.533e-05,-2.817e-05,-3.061e-05,1000.0
36696_039,-2.616e-05,-2.938e-05,-3.206e-05,1000.0
36696_010,-2.358e-05,-2.638e-05,-2.878e-05,1000.0
36697_036,-2.794e-05,-3.162e-05,-3.49e-05,1000.0
36697_011,-2.636e-05,-2.987e-05,-3.297e-05,1000.0
37398_012,-3.475e-05,-4.026e-05,-4.539e-05,1000.0
37398_001,-2.996e-05,-3.462e-05,-3.871e-05,1000.0
37399_049,-2.687e-05,-3.065e-05,-3.404e-05,1000.0
37399_033,-3.49e-05,-4.02e-05,-4.505e-05,1000.0
